Transaction ID,Customer ID,Product Category,Product Name,Quantity,Unit Price,Total Amount,Purchase Date,Customer City,Payment Method
TXN-20260034,CUST-1326,Clothing,Jeans,2,2263.14,4526.28,18/01/2026,Rawalpindi,Credit Card
TXN-20260035,CUST-2429,Restaurant Orders,Burger Combo,2,876.61,1753.22,26/03/2026,Karachi,JazzCash
TXN-20260036,CUST-1865,Electronics,Bluetooth Speaker,2,3625.44,7250.88,03/02/2026,Rawalpindi,Debit Card
TXN-20260037,CUST-1696,Clothing,T-Shirt,1,1219.33,1219.33,03/02/2026,Lahore,Debit Card
TXN-20260038,CUST-1569,Clothing,Socks Pack,2,589.43,1178.86,09/03/2026,Lahore,Credit Card
TXN-20260039,CUST-1318,Supermarket Sales,Dishwasher Liquid,1,432.61,432.61,02/05/2026,Faisalabad,Debit Card
TXN-20260040,CUST-1440,Restaurant Orders,Molten Lava Cake,5,432.41,2162.05,26/02/2026,Rawalpindi,Cash
TXN-20260041,CUST-1689,Restaurant Orders,Biryani Platter,1,597.48,597.48,16/01/2026,Faisalabad,EasyPaisa
TXN-20260042,CUST-1209,Supermarket Sales,Shampoo,4,849.17,3396.68,19/01/2026,Lahore,Debit Card
TXN-20260043,CUST-1189,Restaurant Orders,Burger Combo,3,813.08,2439.24,09/06/2026,Multan,JazzCash
TXN-20260044,CUST-1778,Restaurant Orders,Biryani Platter,5,592.85,2964.25,16/05/2026,Islamabad,EasyPaisa
TXN-20260045,CUST-1198,Restaurant Orders,Molten Lava Cake,1,446.86,,17/06/2026,Multan,JazzCash
TXN-20260046,CUST-1735,Clothing,Jacket,2,4478.2,8956.4,16/04/2026,Islamabad,EasyPaisa
TXN-20260047,CUST-1704,Supermarket Sales,Toothpaste,3,358.04,1074.12,20/04/2026,Islamabad,Debit Card
TXN-20260048,CUST-2236,Groceries,Basmati Rice 5kg,4,1833.63,7334.52,18/01/2026,Lahore,Cash
TXN-20260049,CUST-1541,Electronics,Power Bank,3,2399.14,7197.42,03/02/2026,Rawalpindi,Cash
TXN-20260050,CUST-1088,Restaurant Orders,Molten Lava Cake,1,452.78,,16/04/2026,Islamabad,EasyPaisa
TXN-20260051,CUST-2494,Electronics,Bluetooth Speaker,3,3535.14,10605.42,27/01/2026,Rawalpindi,JazzCash
TXN-20260052,CUST-1940,Clothing,Jeans,2,2234.48,4468.96,28/01/2026,Islamabad,JazzCash
TXN-20260053,CUST-2098,Groceries,Cooking Oil 5L,5,2668.28,13341.4,27/02/2026,Faisalabad,JazzCash
TXN-20260054,CUST-1255,Restaurant Orders,Molten Lava Cake,5,457.87,2289.35,07/01/2026,Rawalpindi,Debit Card
TXN-20260055,CUST-1775,Electronics,Laptop,3,83072.8,249218.4,28/03/2026,Islamabad,Cash
TXN-20260056,CUST-1161,Clothing,Jeans,4,2214.59,8858.36,18/01/2026,Karachi,Cash
TXN-20260057,CUST-2130,Electronics,Smart Watch,4,5829.08,23316.32,27/04/2026,Islamabad,Credit Card
TXN-20260058,CUST-1600,Groceries,Sugar 5kg,5,766.62,3833.1,02/06/2026,Lahore,Cash
TXN-20260059,CUST-2287,Clothing,Jeans,1,2255.98,,21/01/2026,Islamabad,EasyPaisa
TXN-20260060,CUST-2266,Supermarket Sales,Toothpaste,4,353.75,1415,11/03/2026,Karachi,JazzCash
TXN-20260061,CUST-1740,Electronics,Bluetooth Speaker,3,3475.47,10426.41,01/06/2026,Faisalabad,JazzCash
TXN-20260062,CUST-2182,Groceries,Cooking Oil 5L,5,2527.33,12636.65,15/01/2026,Lahore,Credit Card
TXN-20260063,CUST-1393,Groceries,Basmati Rice 5kg,3,1848.12,5544.36,16/03/2026,Islamabad,Cash
TXN-20260064,CUST-2442,Electronics,Power Bank,2,2561.75,5123.5,03/02/2026,Faisalabad,JazzCash
TXN-20260065,CUST-1142,Clothing,Socks Pack,3,603.52,1810.56,19/01/2026,Faisalabad,Cash
TXN-20260066,CUST-1093,Supermarket Sales,Shampoo,1,846.58,846.58,22/03/2026,Rawalpindi,EasyPaisa
TXN-20260067,CUST-2354,Restaurant Orders,Cold Drink 1.5L,4,153.14,612.56,16/03/2026,Lahore,EasyPaisa
TXN-20260068,CUST-1466,Electronics,Bluetooth Speaker,5,3385.16,16925.8,28/04/2026,Multan,Debit Card
TXN-20260069,CUST-1592,Electronics,Power Bank,2,2586.12,5172.24,22/04/2026,Rawalpindi,EasyPaisa
TXN-20260070,CUST-1163,Restaurant Orders,Pizza Large,3,1632.8,4898.4,28/03/2026,Karachi,Debit Card
TXN-20260071,CUST-1476,Clothing,T-Shirt,1,1201.26,1201.26,16/05/2026,Rawalpindi,Credit Card
TXN-20260072,CUST-1206,Groceries,Sugar 5kg,2,767.05,1534.1,02/03/2026,Lahore,Credit Card
TXN-20260073,CUST-1778,Groceries,Basmati Rice 5kg,2,1741.23,3482.46,17/06/2026,Lahore,Credit Card
TXN-20260074,CUST-1569,Supermarket Sales,Toothpaste,5,358.91,1794.55,25/04/2026,Multan,JazzCash
TXN-20260075,CUST-1928,Restaurant Orders,Biryani Platter,3,621.85,1865.55,08/02/2026,Faisalabad,Cash
TXN-20260076,CUST-2301,Supermarket Sales,Toothpaste,3,354.6,1063.8,01/06/2026,Lahore,Debit Card
TXN-20260077,CUST-1747,Restaurant Orders,Pizza Large,4,1618.72,6474.88,10/01/2026,Lahore,Debit Card
TXN-20260078,CUST-1333,Groceries,Cooking Oil 5L,1,2637.61,2637.61,07/06/2026,Rawalpindi,JazzCash
TXN-20260079,CUST-1758,Supermarket Sales,Toothpaste,1,352.81,352.81,26/04/2026,Rawalpindi,Credit Card
TXN-20260080,CUST-1727,Groceries,Milk Pack 1L,2,289.29,578.58,16/01/2026,Faisalabad,Cash
TXN-20260081,CUST-1429,Groceries,Cooking Oil 5L,2,2601.18,5202.36,11/01/2026,Karachi,EasyPaisa
TXN-20260082,CUST-2372,Supermarket Sales,Dishwasher Liquid,2,451.02,902.04,04/04/2026,Islamabad,Debit Card
TXN-20260083,CUST-1546,Supermarket Sales,Toothpaste,5,359.61,1798.05,14/01/2026,Multan,Debit Card
TXN-20260084,CUST-2437,Electronics,Bluetooth Speaker,4,3358.08,13432.32,14/03/2026,Islamabad,JazzCash
TXN-20260085,CUST-2399,Clothing,Kurtas,2,2874.45,5748.9,31/03/2026,Islamabad,EasyPaisa
TXN-20260086,CUST-2327,Clothing,Socks Pack,1,612.53,612.53,21/03/2026,Rawalpindi,EasyPaisa
TXN-20260087,CUST-1146,Groceries,Basmati Rice 5kg,5,1830.62,9153.1,24/01/2026,Multan,EasyPaisa
TXN-20260088,CUST-2247,Restaurant Orders,Biryani Platter,3,571.09,1713.27,16/02/2026,Karachi,Debit Card
TXN-20260089,CUST-2300,Supermarket Sales,Detergent Powder,2,1361.72,2723.44,09/02/2026,Lahore,Debit Card
TXN-20260090,CUST-1350,Electronics,Smart Watch,5,6162.52,30812.6,10/01/2026,Multan,Debit Card
TXN-20260091,CUST-2093,Restaurant Orders,Burger Combo,2,858.27,1716.54,11/02/2026,Karachi,JazzCash
TXN-20260092,CUST-2493,Clothing,Jacket,3,4294.66,12883.98,02/03/2026,Faisalabad,JazzCash
TXN-20260093,CUST-1501,Groceries,Tea Pack,2,924.73,1849.46,21/03/2026,Faisalabad,Credit Card
TXN-20260094,CUST-1334,Groceries,Milk Pack 1L,4,304.05,1216.2,14/03/2026,Faisalabad,JazzCash
TXN-20260095,CUST-1946,Restaurant Orders,Cold Drink 1.5L,2,156.99,313.98,04/06/2026,Karachi,Debit Card
TXN-20260096,CUST-1777,Electronics,Power Bank,5,2593.53,12967.65,27/01/2026,Multan,JazzCash
TXN-20260097,CUST-1552,Electronics,Bluetooth Speaker,2,3354.36,6708.72,11/03/2026,Faisalabad,JazzCash
TXN-20260098,CUST-2310,Clothing,Jacket,2,4316.27,8632.54,26/04/2026,Islamabad,Cash
TXN-20260099,CUST-2409,Supermarket Sales,Shampoo,3,841.2,2523.6,02/03/2026,Faisalabad,Cash
TXN-20260100,CUST-2140,Groceries,Basmati Rice 5kg,1,1715.07,1715.07,16/06/2026,Islamabad,Credit Card
TXN-20260101,CUST-1449,Clothing,T-Shirt,4,1174.43,4697.72,05/02/2026,Multan,EasyPaisa
TXN-20260102,CUST-2402,Supermarket Sales,Dishwasher Liquid,1,427.74,,05/01/2026,Islamabad,Credit Card
TXN-20260103,CUST-1664,Clothing,Socks Pack,5,626.41,3132.05,16/05/2026,Faisalabad,Cash
TXN-20260104,CUST-1114,Groceries,Basmati Rice 5kg,1,1764.21,1764.21,03/03/2026,Faisalabad,JazzCash
TXN-20260105,CUST-1469,Supermarket Sales,Shampoo,4,816.92,3267.68,02/06/2026,Rawalpindi,Cash
TXN-20260106,CUST-1065,Restaurant Orders,Molten Lava Cake,2,438.39,876.78,16/03/2026,Faisalabad,Cash
TXN-20260107,CUST-1646,Restaurant Orders,Biryani Platter,4,584.43,2337.72,17/02/2026,Multan,Cash
TXN-20260108,CUST-1821,Restaurant Orders,Biryani Platter,5,574.06,2870.3,20/05/2026,Rawalpindi,JazzCash
TXN-20260109,CUST-1548,Restaurant Orders,Pizza Large,4,1631.92,6527.68,12/01/2026,Multan,EasyPaisa
TXN-20260110,CUST-1135,Groceries,Sugar 5kg,3,768.55,2305.65,18/01/2026,Islamabad,Credit Card
TXN-20260111,CUST-1432,Electronics,Smart Watch,3,6141.11,18423.33,04/02/2026,Lahore,Debit Card
TXN-20260112,CUST-2161,Restaurant Orders,Biryani Platter,2,618.81,1237.62,29/04/2026,Multan,EasyPaisa
TXN-20260113,CUST-2470,Clothing,Jeans,4,2103.88,8415.52,10/01/2026,Islamabad,Credit Card
TXN-20260114,CUST-1644,Electronics,Laptop,3,88279.22,264837.66,21/03/2026,Rawalpindi,EasyPaisa
TXN-20260115,CUST-1435,Restaurant Orders,Cold Drink 1.5L,2,146.3,292.6,15/03/2026,Islamabad,Cash
TXN-20260116,CUST-2342,Groceries,Sugar 5kg,3,721.84,2165.52,22/04/2026,Faisalabad,EasyPaisa
TXN-20260117,CUST-2022,Supermarket Sales,Body Wash,4,680.79,2723.16,08/05/2026,Islamabad,JazzCash
TXN-20260118,CUST-1810,Groceries,Cooking Oil 5L,1,2659.04,2659.04,21/04/2026,Rawalpindi,Credit Card
TXN-20260119,CUST-2316,Restaurant Orders,Biryani Platter,1,589.27,589.27,25/03/2026,Multan,Debit Card
TXN-20260120,CUST-1939,Groceries,Tea Pack,4,959.75,3839,12/02/2026,Multan,EasyPaisa
TXN-20260121,CUST-1292,Groceries,Tea Pack,3,906.52,2719.56,07/06/2026,Faisalabad,Debit Card
TXN-20260122,CUST-1542,Electronics,Smart Phone,4,45770.33,183081.32,04/04/2026,Rawalpindi,Credit Card
TXN-20260123,CUST-1285,Electronics,Laptop,4,87963.69,351854.76,09/01/2026,Karachi,Cash
TXN-20260124,CUST-1505,Clothing,Kurtas,5,2958.65,14793.25,09/01/2026,Rawalpindi,Credit Card
TXN-20260125,CUST-2149,Supermarket Sales,Body Wash,1,641.68,641.68,27/05/2026,Karachi,JazzCash
TXN-20260126,CUST-2103,Groceries,Tea Pack,3,932.37,2797.11,05/03/2026,Lahore,Cash
TXN-20260127,CUST-1538,Clothing,Jacket,5,4507.99,22539.95,31/01/2026,Islamabad,Debit Card
TXN-20260128,CUST-2197,Supermarket Sales,Detergent Powder,3,1469.49,4408.47,06/05/2026,Karachi,Cash
TXN-20260129,CUST-1877,Clothing,T-Shirt,4,1194.25,4777,23/01/2026,Multan,Debit Card
TXN-20260130,CUST-2195,Groceries,Cooking Oil 5L,3,2613,7839,18/03/2026,Karachi,Credit Card
TXN-20260131,CUST-1817,Groceries,Milk Pack 1L,2,282,564,05/02/2026,Karachi,EasyPaisa
TXN-20260132,CUST-1741,Electronics,Bluetooth Speaker,3,3518.91,10556.73,30/04/2026,Rawalpindi,Credit Card
TXN-20260133,CUST-1449,Restaurant Orders,Pizza Large,4,1578.35,6313.4,03/05/2026,Rawalpindi,EasyPaisa
TXN-20260134,CUST-1283,Supermarket Sales,Dishwasher Liquid,3,430.82,1292.46,14/06/2026,Lahore,EasyPaisa
TXN-20260135,CUST-2043,Supermarket Sales,Dishwasher Liquid,5,443,2215,13/06/2026,Rawalpindi,Credit Card
TXN-20260136,CUST-2010,Clothing,Jacket,1,4501.29,4501.29,01/02/2026,Rawalpindi,Credit Card
TXN-20260137,CUST-1186,Groceries,Basmati Rice 5kg,2,1739.15,3478.3,30/03/2026,Rawalpindi,Debit Card
TXN-20260138,CUST-1096,Electronics,Bluetooth Speaker,5,3393.71,16968.55,12/03/2026,Karachi,Debit Card
TXN-20260139,CUST-1224,Restaurant Orders,Molten Lava Cake,2,431.7,863.4,01/06/2026,Rawalpindi,Credit Card
TXN-20260140,CUST-1313,Clothing,Socks Pack,5,613.24,3066.2,28/03/2026,Rawalpindi,Cash
TXN-20260141,CUST-2285,Electronics,Smart Phone,5,42954.58,214772.9,09/03/2026,Multan,Credit Card
TXN-20260142,CUST-1327,Restaurant Orders,Cold Drink 1.5L,1,151.77,151.77,08/05/2026,Multan,JazzCash
TXN-20260143,CUST-2393,Groceries,Sugar 5kg,4,748.72,2994.88,18/03/2026,Faisalabad,Cash
TXN-20260144,CUST-1864,Electronics,Laptop,4,84486.65,337946.6,29/04/2026,Karachi,Debit Card
TXN-20260145,CUST-2221,Restaurant Orders,Burger Combo,3,834.07,2502.21,30/03/2026,Faisalabad,Credit Card
TXN-20260146,CUST-1130,Groceries,Milk Pack 1L,3,291.79,875.37,03/03/2026,Faisalabad,Cash
TXN-20260147,CUST-1788,Groceries,Tea Pack,1,926.05,926.05,13/01/2026,Islamabad,EasyPaisa
TXN-20260148,CUST-1781,Restaurant Orders,Cold Drink 1.5L,2,146.22,292.44,25/03/2026,Rawalpindi,Debit Card
TXN-20260149,CUST-2220,Clothing,Jeans,5,2199.62,10998.1,30/04/2026,Faisalabad,Debit Card
TXN-20260150,CUST-1958,Supermarket Sales,Shampoo,4,815.15,3260.6,10/05/2026,Faisalabad,Credit Card
TXN-20260151,CUST-2083,Clothing,Socks Pack,1,591.17,591.17,14/03/2026,Faisalabad,JazzCash
TXN-20260152,CUST-1514,Supermarket Sales,Body Wash,1,652.38,652.38,21/04/2026,Karachi,Debit Card
TXN-20260153,CUST-2133,Groceries,Tea Pack,4,937.26,3749.04,14/01/2026,Rawalpindi,JazzCash
TXN-20260154,CUST-1023,Clothing,Kurtas,1,3015.97,3015.97,09/04/2026,Rawalpindi,EasyPaisa
TXN-20260155,CUST-2393,Restaurant Orders,Biryani Platter,5,619.52,3097.6,06/06/2026,Lahore,Credit Card
TXN-20260156,CUST-2476,Electronics,Power Bank,3,2468.3,7404.9,23/05/2026,Islamabad,Credit Card
TXN-20260157,CUST-1234,Clothing,Socks Pack,5,600.55,3002.75,11/01/2026,Lahore,Cash
TXN-20260158,CUST-2396,Clothing,Kurtas,5,3091.19,15455.95,27/04/2026,Karachi,JazzCash
TXN-20260159,CUST-2099,Restaurant Orders,Burger Combo,5,835.38,4176.9,23/03/2026,Karachi,EasyPaisa
TXN-20260160,CUST-1546,Restaurant Orders,Biryani Platter,5,605.62,3028.1,11/05/2026,Rawalpindi,EasyPaisa
TXN-20260161,CUST-2312,Restaurant Orders,Biryani Platter,1,598.49,598.49,05/04/2026,Islamabad,Cash
TXN-20260162,CUST-1696,Supermarket Sales,Dishwasher Liquid,1,441.35,441.35,02/06/2026,Faisalabad,Debit Card
TXN-20260163,CUST-1228,Restaurant Orders,Molten Lava Cake,1,437.74,437.74,30/05/2026,Faisalabad,Credit Card
TXN-20260164,CUST-1601,Restaurant Orders,Molten Lava Cake,4,462.36,1849.44,07/02/2026,Multan,Credit Card
TXN-20260165,CUST-1890,Electronics,Smart Watch,1,6268.92,6268.92,18/02/2026,Lahore,EasyPaisa
TXN-20260166,CUST-1323,Groceries,Tea Pack,2,916.89,1833.78,16/04/2026,Rawalpindi,JazzCash
TXN-20260167,CUST-1929,Supermarket Sales,Shampoo,5,867.49,4337.45,23/02/2026,Rawalpindi,Debit Card
TXN-20260168,CUST-1006,Supermarket Sales,Dishwasher Liquid,2,444.46,888.92,28/04/2026,Rawalpindi,Debit Card
TXN-20260169,CUST-2478,Restaurant Orders,Biryani Platter,3,610.55,1831.65,06/06/2026,Faisalabad,Credit Card
TXN-20260170,CUST-2473,Clothing,Kurtas,2,3017.43,6034.86,18/03/2026,Islamabad,Credit Card
TXN-20260171,CUST-1539,Supermarket Sales,Body Wash,5,648.69,,12/03/2026,Islamabad,Cash
TXN-20260172,CUST-2025,Restaurant Orders,Molten Lava Cake,4,444.59,1778.36,30/03/2026,Karachi,Debit Card
TXN-20260173,CUST-1365,Electronics,Bluetooth Speaker,1,3659.36,3659.36,30/03/2026,Faisalabad,Debit Card
TXN-20260174,CUST-2039,Supermarket Sales,Detergent Powder,5,1358.29,6791.45,11/03/2026,Rawalpindi,Debit Card
TXN-20260175,CUST-1217,Clothing,T-Shirt,5,1213.88,6069.4,03/03/2026,Karachi,Cash
TXN-20260176,CUST-2280,Restaurant Orders,Burger Combo,1,861.73,861.73,26/01/2026,Faisalabad,Debit Card
TXN-20260177,CUST-1611,Supermarket Sales,Shampoo,2,865.4,1730.8,02/01/2026,Rawalpindi,Credit Card
TXN-20260178,CUST-2308,Supermarket Sales,Toothpaste,2,349.21,698.42,15/03/2026,Islamabad,Debit Card
TXN-20260179,CUST-2039,Electronics,Smart Phone,2,45685.34,91370.68,17/05/2026,Multan,Cash
TXN-20260180,CUST-2247,Clothing,Jacket,2,4672.01,9344.02,10/01/2026,Faisalabad,EasyPaisa
TXN-20260181,CUST-1407,Clothing,Kurtas,1,3113.02,3113.02,18/03/2026,Rawalpindi,JazzCash
TXN-20260182,CUST-1313,Electronics,Bluetooth Speaker,5,3424.6,17123,15/05/2026,Faisalabad,Credit Card
TXN-20260183,CUST-1765,Restaurant Orders,Cold Drink 1.5L,1,146.59,146.59,26/03/2026,Karachi,EasyPaisa
TXN-20260184,CUST-1330,Groceries,Basmati Rice 5kg,3,1712.54,5137.62,17/03/2026,Rawalpindi,Credit Card
TXN-20260185,CUST-2104,Clothing,Socks Pack,4,621.37,2485.48,20/04/2026,Rawalpindi,Debit Card
TXN-20260186,CUST-2086,Electronics,Power Bank,2,2542.31,5084.62,05/02/2026,Faisalabad,Debit Card
TXN-20260187,CUST-1001,Clothing,T-Shirt,2,1171.29,2342.58,25/04/2026,Islamabad,Debit Card
TXN-20260188,CUST-2226,Groceries,Milk Pack 1L,1,296.46,296.46,08/03/2026,Multan,Debit Card
TXN-20260189,CUST-1663,Clothing,T-Shirt,4,1220.13,4880.52,20/03/2026,Karachi,EasyPaisa
TXN-20260190,CUST-2000,Restaurant Orders,Biryani Platter,3,611.42,1834.26,05/04/2026,Rawalpindi,Credit Card
TXN-20260191,CUST-1039,Clothing,Jeans,4,2195.2,8780.8,05/06/2026,Islamabad,EasyPaisa
TXN-20260192,CUST-1229,Restaurant Orders,Cold Drink 1.5L,2,153.86,307.72,05/03/2026,Multan,JazzCash
TXN-20260193,CUST-1743,Electronics,Smart Watch,3,5968.05,17904.15,20/01/2026,Rawalpindi,Cash
TXN-20260194,CUST-1629,Electronics,Smart Watch,2,6241.73,12483.46,27/05/2026,Rawalpindi,Credit Card
TXN-20260195,CUST-1490,Clothing,Kurtas,4,3106.35,12425.4,30/01/2026,Multan,Credit Card
TXN-20260196,CUST-1118,Restaurant Orders,Cold Drink 1.5L,5,143.86,719.3,25/04/2026,Lahore,EasyPaisa
TXN-20260197,CUST-1493,Clothing,Socks Pack,5,594.93,2974.65,15/01/2026,Rawalpindi,EasyPaisa
TXN-20260198,CUST-2161,Groceries,Cooking Oil 5L,1,2572.95,2572.95,25/02/2026,Rawalpindi,Cash
TXN-20260199,CUST-1161,Electronics,Power Bank,1,2461.13,2461.13,19/05/2026,Lahore,Cash
TXN-20260200,CUST-1175,Supermarket Sales,Shampoo,2,831.9,1663.8,04/02/2026,Multan,EasyPaisa
TXN-20260201,CUST-2498,Groceries,Tea Pack,4,945.11,3780.44,07/04/2026,Lahore,JazzCash
TXN-20260202,CUST-1995,Clothing,Kurtas,5,2885.59,14427.95,11/04/2026,Rawalpindi,Credit Card
TXN-20260203,CUST-1141,Clothing,T-Shirt,3,1230.74,3692.22,29/04/2026,Multan,JazzCash
TXN-20260204,CUST-2090,Supermarket Sales,Dishwasher Liquid,2,444.57,889.14,05/03/2026,Faisalabad,Debit Card
TXN-20260205,CUST-1257,Clothing,Kurtas,1,2906.54,2906.54,09/01/2026,Multan,EasyPaisa
TXN-20260206,CUST-1262,Restaurant Orders,Pizza Large,1,1607.21,1607.21,26/01/2026,Rawalpindi,Cash
TXN-20260207,CUST-2351,Supermarket Sales,Dishwasher Liquid,1,457.74,457.74,04/03/2026,Multan,Cash
TXN-20260208,CUST-1973,Supermarket Sales,Toothpaste,2,340.7,681.4,15/01/2026,Karachi,JazzCash
TXN-20260209,CUST-2125,Groceries,Basmati Rice 5kg,5,1856.84,9284.2,23/03/2026,Rawalpindi,JazzCash
TXN-20260210,CUST-1338,Groceries,Basmati Rice 5kg,2,1764.32,3528.64,19/06/2026,Rawalpindi,Credit Card
TXN-20260211,CUST-1542,Supermarket Sales,Body Wash,5,635.39,3176.95,01/06/2026,Multan,Credit Card
TXN-20260212,CUST-2080,Supermarket Sales,Dishwasher Liquid,3,449.8,1349.4,14/06/2026,Multan,EasyPaisa
TXN-20260213,CUST-2242,Restaurant Orders,Biryani Platter,4,611.78,2447.12,08/02/2026,Islamabad,EasyPaisa
TXN-20260214,CUST-1866,Clothing,Socks Pack,2,598.41,1196.82,18/03/2026,Multan,Credit Card
TXN-20260215,CUST-1433,Supermarket Sales,Shampoo,4,855.3,3421.2,23/05/2026,Rawalpindi,Credit Card
TXN-20260216,CUST-2104,Supermarket Sales,Detergent Powder,3,1365.7,4097.1,15/06/2026,Lahore,EasyPaisa
TXN-20260217,CUST-2494,Groceries,Cooking Oil 5L,2,2609.27,5218.54,14/01/2026,Islamabad,EasyPaisa
TXN-20260218,CUST-2412,Restaurant Orders,Molten Lava Cake,1,429.28,429.28,18/02/2026,Rawalpindi,JazzCash
TXN-20260219,CUST-1411,Clothing,Jacket,3,4369,13107,19/03/2026,Lahore,Credit Card
TXN-20260220,CUST-2460,Clothing,T-Shirt,4,1229.63,4918.52,04/03/2026,Multan,JazzCash
TXN-20260221,CUST-1638,Clothing,Jacket,5,4686.81,23434.05,24/03/2026,Islamabad,EasyPaisa
TXN-20260222,CUST-1817,Supermarket Sales,Dishwasher Liquid,3,456.69,1370.07,08/03/2026,Islamabad,JazzCash
TXN-20260223,CUST-2375,Supermarket Sales,Toothpaste,4,335.95,1343.8,23/03/2026,Karachi,Debit Card
TXN-20260224,CUST-2330,Groceries,Tea Pack,2,906.84,1813.68,07/02/2026,Lahore,Debit Card
TXN-20260225,CUST-1764,Restaurant Orders,Molten Lava Cake,4,453.56,1814.24,17/03/2026,Karachi,Credit Card
TXN-20260226,CUST-1897,Groceries,Basmati Rice 5kg,2,1778.37,3556.74,08/05/2026,Rawalpindi,Debit Card
TXN-20260227,CUST-2059,Groceries,Tea Pack,4,994.32,3977.28,28/04/2026,Karachi,Debit Card
TXN-20260228,CUST-1924,Clothing,Jeans,4,2248.47,8993.88,17/02/2026,Rawalpindi,Cash
TXN-20260229,CUST-1247,Restaurant Orders,Pizza Large,1,1705.95,1705.95,13/01/2026,Lahore,EasyPaisa
TXN-20260230,CUST-1507,Clothing,Jeans,2,2104.95,4209.9,03/01/2026,Karachi,JazzCash
TXN-20260231,CUST-1460,Supermarket Sales,Body Wash,5,621.43,3107.15,04/05/2026,Multan,EasyPaisa
